client_id,command,result
yeongbin,head -c 102400 < /dev/urandom > test_file1,"['0:00:00.006027', '1672648085.089648']"
yeongbin,ipfs add test_file1,"['QmP5yYZs2P6U9rWH2L8aQBxrRdsiRNHHCHm9XNtmxHsjcF', '0:00:00.253225', '1672648086.350434']"
yunsang,ipfs cat QmP5yYZs2P6U9rWH2L8aQBxrRdsiRNHHCHm9XNtmxHsjcF > read_file1,"['0:00:01.553473', '1672648089.66454']"
yunsang,head -c 1048576 < /dev/urandom > test_file2,"['0:00:00.063999', '1672648091.584881']"
yunsang,ipfs add test_file2,"['QmTB6PiaJMoQuT225ENVh2M2jcAqDaoYCGajAWemVnH7cV', '0:00:00.441979', '1672648093.881342']"
yeongbin,ipfs cat QmTB6PiaJMoQuT225ENVh2M2jcAqDaoYCGajAWemVnH7cV > read_file2,"['0:00:00.424054', '1672648095.419943']"
yeongbin,head -c 1048576 < /dev/urandom > test_file3,"['0:00:00.007597', '1672648096.393528']"
yeongbin,ipfs add test_file3,"['QmY4WzNoMrxDv2BGGkT8GoAjR5jpjpbBKzbj3wGDpZKoYm', '0:00:00.380599', '1672648097.777865']"
yunsang,ipfs cat QmY4WzNoMrxDv2BGGkT8GoAjR5jpjpbBKzbj3wGDpZKoYm > read_file3,"['0:00:00.578213', '1672648100.25859']"
yeongbin,head -c 10485760 < /dev/urandom > test_file4,"['0:00:00.029010', '1672648101.41854']"
yeongbin,ipfs add test_file4,"['QmeCpxtGDCNxY5LdudwTGfoLgNa3bHSiH3YVEH25uXtHH4', '0:00:01.633178', '1672648104.02597']"
yunsang,ipfs cat QmeCpxtGDCNxY5LdudwTGfoLgNa3bHSiH3YVEH25uXtHH4 > read_file4,"['0:00:03.018479', '1672648108.859329']"
yunsang,head -c 10485760 < /dev/urandom > test_file5,"['0:00:00.439653', '1672648111.131606']"
yunsang,ipfs add test_file5,"['QmWxsHsYBBpQSa6d1bQeZJE9mkVk1uKdy6r2KA6t7pzV59', '0:00:01.669035', '1672648114.698848']"
yeongbin,ipfs cat QmWxsHsYBBpQSa6d1bQeZJE9mkVk1uKdy6r2KA6t7pzV59 > read_file5,"['0:00:02.865469', '1672648118.560054']"
yeongbin,head -c 1048576000 < /dev/urandom > test_file6,"['0:00:02.805148', '1672648122.275102']"
yeongbin,ipfs add test_file6,"['QmWhXqL7YgrNpPArCU7Mg3PNY2GqUDuTBrFgamMamfq3Co', '0:02:23.605858', '1672648266.904907']"
yunsang,ipfs cat QmWhXqL7YgrNpPArCU7Mg3PNY2GqUDuTBrFgamMamfq3Co > read_file6,"['0:04:28.931408', '1672648537.685257']"
yeongbin,head -c 10485760 < /dev/urandom > test_file7,"['0:00:00.041939', '1672648538.747691']"
yeongbin,ipfs add test_file7,"['QmQUrNauD3tQmXjJasPBa3BCEvQdWSLQx8HYSpa9aCuMrU', '0:00:01.693364', '1672648541.383921']"
yunsang,ipfs cat QmQUrNauD3tQmXjJasPBa3BCEvQdWSLQx8HYSpa9aCuMrU > read_file7,"['0:00:02.302490', '1672648545.549048']"
yunsang,head -c 524288000 < /dev/urandom > test_file8,"['0:00:21.392932', '1672648568.7049']"
yunsang,ipfs add test_file8,"['QmaGbAdLnp5oxifwCbPFhchBM3PFaMKz5wBcNiaNAn5fHj', '0:00:44.936879', '1672648615.477176']"
yeongbin,ipfs cat QmaGbAdLnp5oxifwCbPFhchBM3PFaMKz5wBcNiaNAn5fHj > read_file8,"['0:01:47.573609', '1672648724.050735']"
yeongbin,head -c 10485760 < /dev/urandom > test_file9,"['0:00:00.041458', '1672648725.027344']"
yeongbin,ipfs add test_file9,"['Qmc65dUG6GkUgDqYiT7GvUso9N7XYkoTMZwdfn8v6BkobG', '0:00:01.711440', '1672648727.709492']"
yunsang,ipfs cat Qmc65dUG6GkUgDqYiT7GvUso9N7XYkoTMZwdfn8v6BkobG > read_file9,"['0:00:02.376285', '1672648731.947796']"
