client_id,command,result
yeongbin,head -c 102400 < /dev/urandom > test_file1,['0:00:00.005795']
yeongbin,ipfs add test_file1,"['QmRyRFtyFF1y1asCKXUmnbjsg5o2t2Kh8drsptkiM396Bu', '0:00:00.215607']"
yunsang,ipfs cat QmRyRFtyFF1y1asCKXUmnbjsg5o2t2Kh8drsptkiM396Bu > read_file1,['0:00:00.088872']
yunsang,head -c 1048576 < /dev/urandom > test_file2,['0:00:00.008058']
yunsang,ipfs add test_file2,"['QmTdVXcNGE66LHirtsApPCsiUvNcEesNnZFNdGvJznFa4p', '0:00:00.401006']"
yeongbin,ipfs cat QmTdVXcNGE66LHirtsApPCsiUvNcEesNnZFNdGvJznFa4p > read_file2,['0:00:00.100109']
yeongbin,head -c 1048576 < /dev/urandom > test_file3,['0:00:00.008077']
yeongbin,ipfs add test_file3,"['QmUrnRWL3B48kprEk9K6uusZPGp41hsckJ3kWVnv3tUUsy', '0:00:00.396046']"
yunsang,ipfs cat QmUrnRWL3B48kprEk9K6uusZPGp41hsckJ3kWVnv3tUUsy > read_file3,['0:00:00.093766']
yeongbin,head -c 10485760 < /dev/urandom > test_file4,['0:00:00.028472']
yeongbin,ipfs add test_file4,"['QmYJvK7p7jfL5RZq2YyqPQnZiDUH6RbYaq14s1YHhFdWQF', '0:00:01.673272']"
yunsang,ipfs cat QmYJvK7p7jfL5RZq2YyqPQnZiDUH6RbYaq14s1YHhFdWQF > read_file4,['0:00:00.132467']
yunsang,head -c 10485760 < /dev/urandom > test_file5,['0:00:00.027995']
yunsang,ipfs add test_file5,"['QmVvvt4EWBtd1CDNycDU1xf3m7FVW3qc1KUuGypQPbfNX8', '0:00:01.646925']"
yeongbin,ipfs cat QmVvvt4EWBtd1CDNycDU1xf3m7FVW3qc1KUuGypQPbfNX8 > read_file5,['0:00:00.131838']
yeongbin,head -c 1048576000 < /dev/urandom > test_file6,['0:00:02.695959']
yeongbin,ipfs add test_file6,"['QmdLzZWQ1wzEou3Gm7c6B2ouTnABFXxH8Fok8Gh7yN13tj', '0:02:24.998555']"
yunsang,ipfs cat QmdLzZWQ1wzEou3Gm7c6B2ouTnABFXxH8Fok8Gh7yN13tj > read_file6,['0:00:03.288800']
yeongbin,head -c 10485760 < /dev/urandom > test_file7,['0:00:00.045880']
yeongbin,ipfs add test_file7,"['QmdrBYTa5MwyvuZvmJ8FNYSTxkijG7nBLphg9bTuaMXibn', '0:00:01.795262']"
yunsang,ipfs cat QmdrBYTa5MwyvuZvmJ8FNYSTxkijG7nBLphg9bTuaMXibn > read_file7,['0:00:00.145538']
yunsang,head -c 524288000 < /dev/urandom > test_file8,['0:00:01.520907']
yunsang,ipfs add test_file8,"['QmQ9JGv4EdPHChsi8kpZmpjMMwv1d7EB97euHknGbvx2ys', '0:01:12.506689']"
yeongbin,ipfs cat QmQ9JGv4EdPHChsi8kpZmpjMMwv1d7EB97euHknGbvx2ys > read_file8,['0:00:01.804622']
yeongbin,head -c 10485760 < /dev/urandom > test_file9,['0:00:00.045918']
yeongbin,ipfs add test_file9,"['QmS4QhFVALbgCoqsmutybL5P5JGQ5BNmtaqxfWLnpKB1rn', '0:00:01.853540']"
yunsang,ipfs cat QmS4QhFVALbgCoqsmutybL5P5JGQ5BNmtaqxfWLnpKB1rn > read_file9,['0:00:00.124262']
