client_id,command,result
yeongbin_us,head -c 10000000 < /dev/urandom > test_file1,"['0:00:00.374965', '1677737194.096859']"
yeongbin_us,ipfs add test_file1,"['QmdNq25Bru6snnXZLBJCMfNPxLrRpE8HTEgYMzq6NN5Hhw', '0:00:00.886077', '1677737196.345532']"
yeongbin_kr,ipfs cat QmdNq25Bru6snnXZLBJCMfNPxLrRpE8HTEgYMzq6NN5Hhw > read_file1,"['0:00:15.254173', '1677737212.515263']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file2,"['0:00:00.377794', '1677737214.312255']"
yeongbin_us,ipfs add test_file2,"['QmePpVcax6kxfhWsjCo2EhRoPdQBbZ7eXcq2UFMgoko4bx', '0:00:00.836664', '1677737216.578392']"
yeongbin_kr,ipfs cat QmePpVcax6kxfhWsjCo2EhRoPdQBbZ7eXcq2UFMgoko4bx > read_file2,"['0:00:15.670720', '1677737233.201671']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file3,"['0:00:00.370766', '1677737235.00583']"
yeongbin_us,ipfs add test_file3,"['QmZpfTy4VggdzSmix5cteGVnSASvyaP3n1uePRKcG2hEYk', '0:00:00.909445', '1677737237.341081']"
yeongbin_kr,ipfs cat QmZpfTy4VggdzSmix5cteGVnSASvyaP3n1uePRKcG2hEYk > read_file3,"['0:00:15.770208', '1677737254.004725']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file4,"['0:00:00.373157', '1677737255.799662']"
yeongbin_us,ipfs add test_file4,"['QmcQR9SD2Ek1MSKfUpnnXzpoK3TgL2ZQ9LuWm3hZubdArB', '0:00:02.016837', '1677737259.238176']"
yeongbin_kr,ipfs cat QmcQR9SD2Ek1MSKfUpnnXzpoK3TgL2ZQ9LuWm3hZubdArB > read_file4,"['0:00:15.117746', '1677737275.307196']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file5,"['0:00:00.374322', '1677737277.098008']"
yeongbin_us,ipfs add test_file5,"['QmXkBXTFhYnTAuQF2Aueu9CPv7V9jyNZpRZXMJHg7S2EEY', '0:00:01.224413', '1677737279.644563']"
yeongbin_kr,ipfs cat QmXkBXTFhYnTAuQF2Aueu9CPv7V9jyNZpRZXMJHg7S2EEY > read_file5,"['0:00:16.293185', '1677737296.838679']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file6,"['0:00:00.374915', '1677737298.630106']"
yeongbin_us,ipfs add test_file6,"['QmdvGtYsTgthFSQfEFtLXay3j5bUriQeqiBtKZLyVQpJdX', '0:00:00.807607', '1677737300.880016']"
yeongbin_kr,ipfs cat QmdvGtYsTgthFSQfEFtLXay3j5bUriQeqiBtKZLyVQpJdX > read_file6,"['0:00:16.134003', '1677737317.896667']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file7,"['0:00:00.378003', '1677737319.708101']"
yeongbin_us,ipfs add test_file7,"['QmULY9rAUqX46Pw9XkYihYTq9FEM314JgHAx9tQUS5vUam', '0:00:00.851093', '1677737322.015238']"
yeongbin_kr,ipfs cat QmULY9rAUqX46Pw9XkYihYTq9FEM314JgHAx9tQUS5vUam > read_file7,"['0:00:14.802785', '1677737337.772483']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file8,"['0:00:00.373013', '1677737339.598509']"
yeongbin_us,ipfs add test_file8,"['QmPsivqbQ8EWFkpKweWDy6PSzhqCD1QsP3Au5cfhSH3U47', '0:00:00.806852', '1677737341.838679']"
yeongbin_kr,ipfs cat QmPsivqbQ8EWFkpKweWDy6PSzhqCD1QsP3Au5cfhSH3U47 > read_file8,"['0:00:14.866566', '1677737357.623466']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file9,"['0:00:00.377161', '1677737359.408843']"
yeongbin_us,ipfs add test_file9,"['QmcJM6pjKnyLYCoDJYYxhFQoH94YuA8fpEC4qqPsvpwDpR', '0:00:01.007071', '1677737361.839305']"
yeongbin_kr,ipfs cat QmcJM6pjKnyLYCoDJYYxhFQoH94YuA8fpEC4qqPsvpwDpR > read_file9,"['0:00:16.710893', '1677737379.46241']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file10,"['0:00:00.375315', '1677737381.307189']"
yeongbin_us,ipfs add test_file10,"['QmZNsQsqSHf8NH3UUN2iGUg3wZgqd8eNMbXQsZVEuyc71Y', '0:00:00.838683', '1677737384.063219']"
yeongbin_kr,ipfs cat QmZNsQsqSHf8NH3UUN2iGUg3wZgqd8eNMbXQsZVEuyc71Y > read_file10,"['0:00:14.986959', '1677737399.943259']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file11,"['0:00:00.378404', '1677737401.812433']"
yeongbin_us,ipfs add test_file11,"['QmTJaHXjjK8thP2rYvR5JWt6HV7ZLVwohLzC1qRrN2KVQ6', '0:00:00.822495', '1677737404.108188']"
yeongbin_kr,ipfs cat QmTJaHXjjK8thP2rYvR5JWt6HV7ZLVwohLzC1qRrN2KVQ6 > read_file11,"['0:00:14.890729', '1677737419.937584']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file12,"['0:00:00.379087', '1677737421.806645']"
yeongbin_us,ipfs add test_file12,"['QmersNh5rC5QJvRW9Gj5iVCqDuEfXn4GspXBmAS9Zg7gMB', '0:00:00.819054', '1677737424.071076']"
yeongbin_kr,ipfs cat QmersNh5rC5QJvRW9Gj5iVCqDuEfXn4GspXBmAS9Zg7gMB > read_file12,"['0:00:16.853786', '1677737441.920025']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file13,"['0:00:00.374166', '1677737443.725588']"
yeongbin_us,ipfs add test_file13,"['QmRsjM8BJ9D7hxB8NMhKo5MyrnzczAmZcHsWnTWxXREpuA', '0:00:01.022581', '1677737446.163522']"
yeongbin_kr,ipfs cat QmRsjM8BJ9D7hxB8NMhKo5MyrnzczAmZcHsWnTWxXREpuA > read_file13,"['0:00:14.972181', '1677737462.073114']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file14,"['0:00:00.374740', '1677737463.847507']"
yeongbin_us,ipfs add test_file14,"['QmWFJu2oA2XjMDyGvtwvD8oaj1x3RTnhBVCDEd3ZVq4484', '0:00:00.817839', '1677737466.058293']"
yeongbin_kr,ipfs cat QmWFJu2oA2XjMDyGvtwvD8oaj1x3RTnhBVCDEd3ZVq4484 > read_file14,"['0:00:14.997312', '1677737481.967234']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file15,"['0:00:00.372575', '1677737483.797183']"
yeongbin_us,ipfs add test_file15,"['QmZ1ZXaUbpzBF4btLU6SZTiAiTVVXZGskwS1iYyMxM8CGc', '0:00:00.837074', '1677737486.097291']"
yeongbin_kr,ipfs cat QmZ1ZXaUbpzBF4btLU6SZTiAiTVVXZGskwS1iYyMxM8CGc > read_file15,"['0:00:15.751308', '1677737502.772774']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file16,"['0:00:00.370949', '1677737504.604824']"
yeongbin_us,ipfs add test_file16,"['QmZPj63UweSNTxjwF4vwL49toYv7GGaFfzVJpgLBSXgziS', '0:00:00.921993', '1677737506.938773']"
yeongbin_kr,ipfs cat QmZPj63UweSNTxjwF4vwL49toYv7GGaFfzVJpgLBSXgziS > read_file16,"['0:00:15.709122', '1677737523.578181']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file17,"['0:00:00.374750', '1677737525.398519']"
yeongbin_us,ipfs add test_file17,"['QmUrybNMcdxZbnFgYN2xU56NzPQPemCMcwb8vsN7pfQfj2', '0:00:00.917331', '1677737527.773683']"
yeongbin_kr,ipfs cat QmUrybNMcdxZbnFgYN2xU56NzPQPemCMcwb8vsN7pfQfj2 > read_file17,"['0:00:15.215031', '1677737543.852558']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file18,"['0:00:00.375873', '1677737545.830352']"
yeongbin_us,ipfs add test_file18,"['QmRpr6tcxBPudXNdPPwdhQoki5zc3cDkx82Wygv9hnqpr3', '0:00:00.847226', '1677737548.237323']"
yeongbin_kr,ipfs cat QmRpr6tcxBPudXNdPPwdhQoki5zc3cDkx82Wygv9hnqpr3 > read_file18,"['0:00:15.726487', '1677737564.867528']"
yeongbin_us,head -c 10000000 < /dev/urandom > test_file19,"['0:00:00.373229', '1677737566.724211']"
yeongbin_us,ipfs add test_file19,"['QmNzpNFkVMRvNQjAQAjdGkT1YyVzTFWUSKo8GVm4dxiwni', '0:00:00.804985', '1677737568.971106']"
yeongbin_kr,ipfs cat QmNzpNFkVMRvNQjAQAjdGkT1YyVzTFWUSKo8GVm4dxiwni > read_file19,"['0:00:15.702610', '1677737585.53239']"
