client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
yeongbin_us,head -c 1024 < /dev/urandom > test_file1,,0:00:00.012893,1674108279.139021,0.012893
yeongbin_us,ipfs add test_file1,QmfNEzsD8CwnHHTM5F84ooTqKZm1yL7d9N78zb8en8ndFz,0:00:00.199884,1674108280.678941,0.199884
yeongbin_kr,ipfs cat QmfNEzsD8CwnHHTM5F84ooTqKZm1yL7d9N78zb8en8ndFz > read_file1,,0:00:00.496747,1674108282.712333,0.496747
byungkeun_us,ipfs cat QmfNEzsD8CwnHHTM5F84ooTqKZm1yL7d9N78zb8en8ndFz > read_file1,,0:00:00.202004,1674108284.335375,0.202004
byungkeun_kr,ipfs cat QmfNEzsD8CwnHHTM5F84ooTqKZm1yL7d9N78zb8en8ndFz > read_file1,,0:00:00.200706,1674108285.918472,0.200706
taekyung_kr,ipfs cat QmfNEzsD8CwnHHTM5F84ooTqKZm1yL7d9N78zb8en8ndFz > read_file1,,0:00:00.362097,1674108289.255181,0.362097
yeongbin_us,head -c 1024 < /dev/urandom > test_file2,,0:00:00.012677,1674108290.882805,0.012677
yeongbin_us,ipfs add test_file2,QmR9MW6nhkL3mqmyM7CdHNbPcs4XTcaUMbEeZpV3Zvqe39,0:00:00.175875,1674108292.400127,0.175875
yeongbin_kr,ipfs cat QmR9MW6nhkL3mqmyM7CdHNbPcs4XTcaUMbEeZpV3Zvqe39 > read_file2,,0:00:00.535436,1674108294.375475,0.535436
byungkeun_us,ipfs cat QmR9MW6nhkL3mqmyM7CdHNbPcs4XTcaUMbEeZpV3Zvqe39 > read_file2,,0:00:00.221978,1674108295.982175,0.221978
byungkeun_kr,ipfs cat QmR9MW6nhkL3mqmyM7CdHNbPcs4XTcaUMbEeZpV3Zvqe39 > read_file2,,0:00:00.283449,1674108297.658366,0.283449
taekyung_kr,ipfs cat QmR9MW6nhkL3mqmyM7CdHNbPcs4XTcaUMbEeZpV3Zvqe39 > read_file2,,0:00:00.374114,1674108301.000454,0.374114
yeongbin_us,head -c 5120 < /dev/urandom > test_file3,,0:00:00.012879,1674108302.637061,0.012879
yeongbin_us,ipfs add test_file3,QmXLMAscbtSF5Z5f9E2MHN6VAcDQNHxwPiBXJuajbDnfT4,0:00:00.181889,1674108304.179868,0.181889
yeongbin_kr,ipfs cat QmXLMAscbtSF5Z5f9E2MHN6VAcDQNHxwPiBXJuajbDnfT4 > read_file3,,0:00:00.444817,1674108306.079977,0.444817
byungkeun_us,ipfs cat QmXLMAscbtSF5Z5f9E2MHN6VAcDQNHxwPiBXJuajbDnfT4 > read_file3,,0:00:00.308775,1674108307.823061,0.308775
byungkeun_kr,ipfs cat QmXLMAscbtSF5Z5f9E2MHN6VAcDQNHxwPiBXJuajbDnfT4 > read_file3,,0:00:00.232054,1674108309.493506,0.232054
taekyung_kr,ipfs cat QmXLMAscbtSF5Z5f9E2MHN6VAcDQNHxwPiBXJuajbDnfT4 > read_file3,,0:00:00.371057,1674108312.802013,0.371057
yeongbin_us,head -c 5120 < /dev/urandom > test_file4,,0:00:00.012941,1674108314.435861,0.012941
yeongbin_us,ipfs add test_file4,QmWoLdsGGYVEV4qvGprQmiTNQagiz36BQpgqE9u81ztCoA,0:00:00.169001,1674108316.014823,0.169001
yeongbin_kr,ipfs cat QmWoLdsGGYVEV4qvGprQmiTNQagiz36BQpgqE9u81ztCoA > read_file4,,0:00:00.490103,1674108318.009328,0.490103
byungkeun_us,ipfs cat QmWoLdsGGYVEV4qvGprQmiTNQagiz36BQpgqE9u81ztCoA > read_file4,,0:00:00.230810,1674108319.64973,0.23081
byungkeun_kr,ipfs cat QmWoLdsGGYVEV4qvGprQmiTNQagiz36BQpgqE9u81ztCoA > read_file4,,0:00:00.404927,1674108321.42146,0.404927
taekyung_kr,ipfs cat QmWoLdsGGYVEV4qvGprQmiTNQagiz36BQpgqE9u81ztCoA > read_file4,,0:00:00.451642,1674108324.852974,0.451642
yeongbin_us,head -c 10240 < /dev/urandom > test_file5,,0:00:00.013239,1674108326.58363,0.013239
yeongbin_us,ipfs add test_file5,QmQRFbt71LfWixgPZU3YdTSLxkbkZy1fuZ1QPNYHha6gsU,0:00:00.140560,1674108328.065912,0.14056
yeongbin_kr,ipfs cat QmQRFbt71LfWixgPZU3YdTSLxkbkZy1fuZ1QPNYHha6gsU > read_file5,,0:00:00.463394,1674108330.061119,0.463394
byungkeun_us,ipfs cat QmQRFbt71LfWixgPZU3YdTSLxkbkZy1fuZ1QPNYHha6gsU > read_file5,,0:00:00.481060,1674108331.938976,0.48106
byungkeun_kr,ipfs cat QmQRFbt71LfWixgPZU3YdTSLxkbkZy1fuZ1QPNYHha6gsU > read_file5,,0:00:00.178012,1674108333.493642,0.178012
taekyung_kr,ipfs cat QmQRFbt71LfWixgPZU3YdTSLxkbkZy1fuZ1QPNYHha6gsU > read_file5,,0:00:00.353538,1674108336.77207,0.353538
yeongbin_us,head -c 10240 < /dev/urandom > test_file6,,0:00:00.013302,1674108338.376213,0.013302
yeongbin_us,ipfs add test_file6,QmVRHNTf5w1eTXXM6Yau29DM6scXYiFgDkY2LH64tuhZPn,0:00:00.152683,1674108339.87148,0.152683
