client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
yeongbin_us,head -c 1024 < /dev/urandom > test_file1,,0:00:00.012773,1674067329.177689,0.012773
yeongbin_us,ipfs add test_file1,QmYGTAMc3rVRjZSLsJSmFZXz841VJkqjLBowaY4nLn3Cwv,0:00:00.143403,1674067330.668294,0.143403
byungkeun_kr,ipfs cat QmYGTAMc3rVRjZSLsJSmFZXz841VJkqjLBowaY4nLn3Cwv > read_file1,,0:00:00.532440,1674067332.613903,0.53244
byungkeun_us,ipfs cat QmYGTAMc3rVRjZSLsJSmFZXz841VJkqjLBowaY4nLn3Cwv > read_file1,,0:00:00.233164,1674067334.243583,0.233164
yeongbin_kr,ipfs cat QmYGTAMc3rVRjZSLsJSmFZXz841VJkqjLBowaY4nLn3Cwv > read_file1,,0:00:00.300928,1674067335.894905,0.300928
taekyung_kr,ipfs cat QmYGTAMc3rVRjZSLsJSmFZXz841VJkqjLBowaY4nLn3Cwv > read_file1,,0:00:00.496739,1674067339.417621,0.496739
yeongbin_us,head -c 1024 < /dev/urandom > test_file2,,0:00:00.012775,1674067341.0488,0.012775
yeongbin_us,ipfs add test_file2,QmaUFYzw4PxxjvGCSxsMC9BNm5i2t6xrdtAG12mhkbqFFY,0:00:00.138445,1674067342.536585,0.138445
byungkeun_kr,ipfs cat QmaUFYzw4PxxjvGCSxsMC9BNm5i2t6xrdtAG12mhkbqFFY > read_file2,,0:00:00.523514,1674067344.45335,0.523514
byungkeun_us,ipfs cat QmaUFYzw4PxxjvGCSxsMC9BNm5i2t6xrdtAG12mhkbqFFY > read_file2,,0:00:00.242883,1674067346.097666,0.242883
yeongbin_kr,ipfs cat QmaUFYzw4PxxjvGCSxsMC9BNm5i2t6xrdtAG12mhkbqFFY > read_file2,,0:00:00.213723,1674067347.659719,0.213723
taekyung_kr,ipfs cat QmaUFYzw4PxxjvGCSxsMC9BNm5i2t6xrdtAG12mhkbqFFY > read_file2,,0:00:00.363336,1674067351.007563,0.363336
yeongbin_us,head -c 5120 < /dev/urandom > test_file3,,0:00:00.012945,1674067352.637669,0.012945
yeongbin_us,ipfs add test_file3,QmZ7WGvZG6yCq4hWCiZPJiF9F76JQdWrfCoRDSdfkzDsJo,0:00:00.159472,1674067354.128562,0.159472
byungkeun_kr,ipfs cat QmZ7WGvZG6yCq4hWCiZPJiF9F76JQdWrfCoRDSdfkzDsJo > read_file3,,0:00:01.016447,1674067356.545474,1.016447
byungkeun_us,ipfs cat QmZ7WGvZG6yCq4hWCiZPJiF9F76JQdWrfCoRDSdfkzDsJo > read_file3,,0:00:00.229457,1674067358.21435,0.229457
yeongbin_kr,ipfs cat QmZ7WGvZG6yCq4hWCiZPJiF9F76JQdWrfCoRDSdfkzDsJo > read_file3,,0:00:00.166067,1674067359.755364,0.166067
taekyung_kr,ipfs cat QmZ7WGvZG6yCq4hWCiZPJiF9F76JQdWrfCoRDSdfkzDsJo > read_file3,,0:00:00.354941,1674067363.076121,0.354941
yeongbin_us,head -c 5120 < /dev/urandom > test_file4,,0:00:00.012818,1674067364.6772,0.012818
yeongbin_us,ipfs add test_file4,QmSvU9rwXM72QNMw6uD8VHdd2rfXetDVvLFwTbd7kCqMis,0:00:00.150243,1674067366.210557,0.150243
byungkeun_kr,ipfs cat QmSvU9rwXM72QNMw6uD8VHdd2rfXetDVvLFwTbd7kCqMis > read_file4,,0:00:00.469582,1674067368.094134,0.469582
byungkeun_us,ipfs cat QmSvU9rwXM72QNMw6uD8VHdd2rfXetDVvLFwTbd7kCqMis > read_file4,,0:00:00.218835,1674067369.737633,0.218835
yeongbin_kr,ipfs cat QmSvU9rwXM72QNMw6uD8VHdd2rfXetDVvLFwTbd7kCqMis > read_file4,,0:00:00.163999,1674067371.257632,0.163999
taekyung_kr,ipfs cat QmSvU9rwXM72QNMw6uD8VHdd2rfXetDVvLFwTbd7kCqMis > read_file4,,0:00:00.363500,1674067374.591158,0.3635
yeongbin_us,head -c 10240 < /dev/urandom > test_file5,,0:00:00.013162,1674067376.182626,0.013162
yeongbin_us,ipfs add test_file5,Qma7JF3D87crjWokQTacgtHe49xMTbRvGS4cRd91K59sJT,0:00:00.159950,1674067377.689403,0.15995
byungkeun_kr,ipfs cat Qma7JF3D87crjWokQTacgtHe49xMTbRvGS4cRd91K59sJT > read_file5,,0:00:00.674612,1674067379.765287,0.674612
byungkeun_us,ipfs cat Qma7JF3D87crjWokQTacgtHe49xMTbRvGS4cRd91K59sJT > read_file5,,0:00:00.249659,1674067381.417173,0.249659
yeongbin_kr,ipfs cat Qma7JF3D87crjWokQTacgtHe49xMTbRvGS4cRd91K59sJT > read_file5,,0:00:00.170220,1674067382.953772,0.17022
taekyung_kr,ipfs cat Qma7JF3D87crjWokQTacgtHe49xMTbRvGS4cRd91K59sJT > read_file5,,0:00:00.351796,1674067386.284669,0.351796
yeongbin_us,head -c 10240 < /dev/urandom > test_file6,,0:00:00.012988,1674067387.942514,0.012988
yeongbin_us,ipfs add test_file6,QmaYsB43uWYhtGu3PqkjdBmCnYCm5NtFa7ybwV2YwYEVb4,0:00:00.147197,1674067389.413885,0.147197
byungkeun_kr,ipfs cat QmaYsB43uWYhtGu3PqkjdBmCnYCm5NtFa7ybwV2YwYEVb4 > read_file6,,0:00:00.667320,1674067391.497733,0.66732
byungkeun_us,ipfs cat QmaYsB43uWYhtGu3PqkjdBmCnYCm5NtFa7ybwV2YwYEVb4 > read_file6,,0:00:00.235407,1674067393.101656,0.235407
