client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
yeongbin_us,head -c 10000000 < /dev/urandom > test_file1,,0:00:00.375497,1677746994.335464,0.375497
yeongbin_us,ipfs add test_file1,QmSz1JR7ngJ58kzNRarSZjpSKEM8m7epQuyDrjbsQoeut7,0:00:00.911332,1677746996.662608,0.911332
byungkeun_kr,ipfs cat QmSz1JR7ngJ58kzNRarSZjpSKEM8m7epQuyDrjbsQoeut7 > read_file1,,0:00:19.764958,1677747017.891466,19.764958
byungkil_kr,ipfs cat QmSz1JR7ngJ58kzNRarSZjpSKEM8m7epQuyDrjbsQoeut7 > read_file1,,0:00:05.044612,1677747024.421107,5.044612
yeongbin_kr,ipfs cat QmSz1JR7ngJ58kzNRarSZjpSKEM8m7epQuyDrjbsQoeut7 > read_file1,,0:00:03.232110,1677747028.695024,3.23211
yeongbin_us,head -c 10000000 < /dev/urandom > test_file2,,0:00:00.374088,1677747030.51442,0.374088
yeongbin_us,ipfs add test_file2,QmT6TusUrhiFHAv2iocCGrd74xnrqLTyfvxbCWJTzpCaBZ,0:00:00.874511,1677747032.731383,0.874511
byungkeun_kr,ipfs cat QmT6TusUrhiFHAv2iocCGrd74xnrqLTyfvxbCWJTzpCaBZ > read_file2,,0:00:15.754999,1677747049.88754,15.754999
taekyung_kr,ipfs cat QmT6TusUrhiFHAv2iocCGrd74xnrqLTyfvxbCWJTzpCaBZ > read_file2,,0:00:07.338937,1677747060.172089,7.338937
yeongbin_kr,ipfs cat QmT6TusUrhiFHAv2iocCGrd74xnrqLTyfvxbCWJTzpCaBZ > read_file2,,0:00:04.294027,1677747065.581966,4.294027
yeongbin_us,head -c 10000000 < /dev/urandom > test_file3,,0:00:00.374383,1677747067.435307,0.374383
yeongbin_us,ipfs add test_file3,QmWqCL5U16HyY331mtKg4vygRLQBXKzQv9JqSbCD5ij4PY,0:00:00.903307,1677747069.66274,0.903307
byungkil_kr,ipfs cat QmWqCL5U16HyY331mtKg4vygRLQBXKzQv9JqSbCD5ij4PY > read_file3,,0:00:16.378740,1677747087.44551,16.37874
byungkeun_kr,ipfs cat QmWqCL5U16HyY331mtKg4vygRLQBXKzQv9JqSbCD5ij4PY > read_file3,,0:00:05.038089,1677747093.966661,5.038089
yeongbin_kr,ipfs cat QmWqCL5U16HyY331mtKg4vygRLQBXKzQv9JqSbCD5ij4PY > read_file3,,0:00:02.554197,1677747097.473246,2.554197
yeongbin_us,head -c 10000000 < /dev/urandom > test_file4,,0:00:00.372648,1677747099.211964,0.372648
yeongbin_us,ipfs add test_file4,QmRJUS2aqcPEPTkmBZdsv2AGWjrpt379eqiMDE7dtebvyE,0:00:01.253504,1677747101.858788,1.253504
byungkil_kr,ipfs cat QmRJUS2aqcPEPTkmBZdsv2AGWjrpt379eqiMDE7dtebvyE > read_file4,,0:00:16.247709,1677747119.511206,16.247709
taekyung_kr,ipfs cat QmRJUS2aqcPEPTkmBZdsv2AGWjrpt379eqiMDE7dtebvyE > read_file4,,0:00:04.100356,1677747126.642346,4.100356
yeongbin_kr,ipfs cat QmRJUS2aqcPEPTkmBZdsv2AGWjrpt379eqiMDE7dtebvyE > read_file4,,0:00:02.944224,1677747130.877048,2.944224
yeongbin_us,head -c 10000000 < /dev/urandom > test_file5,,0:00:00.374088,1677747132.635862,0.374088
yeongbin_us,ipfs add test_file5,QmNWWPpFdcg4ZftfLxz2uBXzeMRs84wVa4ytAaA2SQ7MqU,0:00:00.872685,1677747134.834334,0.872685
taekyung_kr,ipfs cat QmNWWPpFdcg4ZftfLxz2uBXzeMRs84wVa4ytAaA2SQ7MqU > read_file5,,0:00:15.982138,1677747153.727649,15.982138
byungkeun_kr,ipfs cat QmNWWPpFdcg4ZftfLxz2uBXzeMRs84wVa4ytAaA2SQ7MqU > read_file5,,0:00:03.933396,1677747159.519842,3.933396
yeongbin_kr,ipfs cat QmNWWPpFdcg4ZftfLxz2uBXzeMRs84wVa4ytAaA2SQ7MqU > read_file5,,0:00:02.580391,1677747163.056857,2.580391
yeongbin_us,head -c 10000000 < /dev/urandom > test_file6,,0:00:00.372442,1677747164.787727,0.372442
yeongbin_us,ipfs add test_file6,QmYzuGDCiErqUfwqxHb7NrLbuZt7GV8nBhMmvhYpq5sgyM,0:00:00.856172,1677747167.283258,0.856172
taekyung_kr,ipfs cat QmYzuGDCiErqUfwqxHb7NrLbuZt7GV8nBhMmvhYpq5sgyM > read_file6,,0:00:15.865347,1677747186.065603,15.865347
byungkil_kr,ipfs cat QmYzuGDCiErqUfwqxHb7NrLbuZt7GV8nBhMmvhYpq5sgyM > read_file6,,0:00:04.973320,1677747192.676939,4.97332
yeongbin_kr,ipfs cat QmYzuGDCiErqUfwqxHb7NrLbuZt7GV8nBhMmvhYpq5sgyM > read_file6,,0:00:03.157092,1677747196.776331,3.157092
yeongbin_us,head -c 10000000 < /dev/urandom > test_file7,,0:00:00.385742,1677747198.499079,0.385742
yeongbin_us,ipfs add test_file7,QmejuAo5JEbTAMFp13TjiPqzwb8jNHwhCZnAWumqyi1FSt,0:00:01.042896,1677747200.900349,1.042896
byungkeun_kr,ipfs cat QmejuAo5JEbTAMFp13TjiPqzwb8jNHwhCZnAWumqyi1FSt > read_file7,,0:00:20.709113,1677747223.047998,20.709113
byungkil_kr,ipfs cat QmejuAo5JEbTAMFp13TjiPqzwb8jNHwhCZnAWumqyi1FSt > read_file7,,0:00:05.573885,1677747230.077401,5.573885
yeongbin_kr,ipfs cat QmejuAo5JEbTAMFp13TjiPqzwb8jNHwhCZnAWumqyi1FSt > read_file7,,0:00:03.527588,1677747234.604324,3.527588
yeongbin_us,head -c 10000000 < /dev/urandom > test_file8,,0:00:00.372683,1677747236.33742,0.372683
yeongbin_us,ipfs add test_file8,QmNyYyw76UExyCjtL8unbVuvh1VLdPy4jejjVTyBn7aVt2,0:00:00.947855,1677747238.707873,0.947855
byungkeun_kr,ipfs cat QmNyYyw76UExyCjtL8unbVuvh1VLdPy4jejjVTyBn7aVt2 > read_file8,,0:00:20.924775,1677747261.118061,20.924775
taekyung_kr,ipfs cat QmNyYyw76UExyCjtL8unbVuvh1VLdPy4jejjVTyBn7aVt2 > read_file8,,0:00:05.696285,1677747269.818528,5.696285
yeongbin_kr,ipfs cat QmNyYyw76UExyCjtL8unbVuvh1VLdPy4jejjVTyBn7aVt2 > read_file8,,0:00:03.149360,1677747274.08478,3.14936
yeongbin_us,head -c 10000000 < /dev/urandom > test_file9,,0:00:00.372627,1677747275.909011,0.372627
yeongbin_us,ipfs add test_file9,QmXtyq9UFoDKJta7gH2o23i9AqNGbq9Pir2yFZtjD5PS2C,0:00:00.852447,1677747278.11663,0.852447
byungkil_kr,ipfs cat QmXtyq9UFoDKJta7gH2o23i9AqNGbq9Pir2yFZtjD5PS2C > read_file9,,0:00:17.658178,1677747297.224031,17.658178
byungkeun_kr,ipfs cat QmXtyq9UFoDKJta7gH2o23i9AqNGbq9Pir2yFZtjD5PS2C > read_file9,,0:00:05.690243,1677747304.534962,5.690243
yeongbin_kr,ipfs cat QmXtyq9UFoDKJta7gH2o23i9AqNGbq9Pir2yFZtjD5PS2C > read_file9,,0:00:02.916786,1677747308.426945,2.916786
yeongbin_us,head -c 10000000 < /dev/urandom > test_file10,,0:00:00.376149,1677747310.140716,0.376149
yeongbin_us,ipfs add test_file10,QmY25hC6mrDRKX9XYMLNeTFq1rtwk4rTZCn6gPSMCtwLgd,0:00:00.851424,1677747312.346611,0.851424
byungkil_kr,ipfs cat QmY25hC6mrDRKX9XYMLNeTFq1rtwk4rTZCn6gPSMCtwLgd > read_file10,,0:00:16.419480,1677747330.118079,16.41948
taekyung_kr,ipfs cat QmY25hC6mrDRKX9XYMLNeTFq1rtwk4rTZCn6gPSMCtwLgd > read_file10,,0:00:04.930358,1677747338.076142,4.930358
yeongbin_kr,ipfs cat QmY25hC6mrDRKX9XYMLNeTFq1rtwk4rTZCn6gPSMCtwLgd > read_file10,,0:00:02.767400,1677747342.12291,2.7674
yeongbin_us,head -c 10000000 < /dev/urandom > test_file11,,0:00:00.376495,1677747343.838682,0.376495
yeongbin_us,ipfs add test_file11,QmQCva8XcNbuYqCAtFo7Qn9m2MY1hRATmbdnc1RnGfTJd6,0:00:00.887182,1677747346.049235,0.887182
taekyung_kr,ipfs cat QmQCva8XcNbuYqCAtFo7Qn9m2MY1hRATmbdnc1RnGfTJd6 > read_file11,,0:00:15.964341,1677747364.898554,15.964341
byungkeun_kr,ipfs cat QmQCva8XcNbuYqCAtFo7Qn9m2MY1hRATmbdnc1RnGfTJd6 > read_file11,,0:00:03.994321,1677747370.620769,3.994321
yeongbin_kr,ipfs cat QmQCva8XcNbuYqCAtFo7Qn9m2MY1hRATmbdnc1RnGfTJd6 > read_file11,,0:00:02.535397,1677747374.101582,2.535397
yeongbin_us,head -c 10000000 < /dev/urandom > test_file12,,0:00:00.374609,1677747375.848866,0.374609
yeongbin_us,ipfs add test_file12,QmNrW1QKw9moj2C8V3Tz59cTGcLTnGzRbGbKgkUp2ouug3,0:00:00.844671,1677747378.016364,0.844671
taekyung_kr,ipfs cat QmNrW1QKw9moj2C8V3Tz59cTGcLTnGzRbGbKgkUp2ouug3 > read_file12,,0:00:18.191665,1677747399.157998,18.191665
byungkil_kr,ipfs cat QmNrW1QKw9moj2C8V3Tz59cTGcLTnGzRbGbKgkUp2ouug3 > read_file12,,0:00:07.896126,1677747408.759622,7.896126
yeongbin_kr,ipfs cat QmNrW1QKw9moj2C8V3Tz59cTGcLTnGzRbGbKgkUp2ouug3 > read_file12,,0:00:02.631672,1677747412.407537,2.631672
yeongbin_us,head -c 10000000 < /dev/urandom > test_file13,,0:00:00.375417,1677747414.150536,0.375417
yeongbin_us,ipfs add test_file13,QmcA8JFTKs6Ty54HnkDVi68WUvX79VvaJEaTn3wuVGiJL3,0:00:00.922077,1677747416.511693,0.922077
byungkeun_kr,ipfs cat QmcA8JFTKs6Ty54HnkDVi68WUvX79VvaJEaTn3wuVGiJL3 > read_file13,,0:00:15.685168,1677747433.663056,15.685168
byungkil_kr,ipfs cat QmcA8JFTKs6Ty54HnkDVi68WUvX79VvaJEaTn3wuVGiJL3 > read_file13,,0:00:07.454561,1677747442.559992,7.454561
yeongbin_kr,ipfs cat QmcA8JFTKs6Ty54HnkDVi68WUvX79VvaJEaTn3wuVGiJL3 > read_file13,,0:00:02.896971,1677747446.422545,2.896971
yeongbin_us,head -c 10000000 < /dev/urandom > test_file14,,0:00:00.374937,1677747448.139444,0.374937
yeongbin_us,ipfs add test_file14,QmeZphfA6CumXMW8ZE8MTev7zTzKpSuwBAStoaBVoWcWhT,0:00:00.889199,1677747450.356654,0.889199
byungkeun_kr,ipfs cat QmeZphfA6CumXMW8ZE8MTev7zTzKpSuwBAStoaBVoWcWhT > read_file14,,0:00:25.123536,1677747476.921194,25.123536
taekyung_kr,ipfs cat QmeZphfA6CumXMW8ZE8MTev7zTzKpSuwBAStoaBVoWcWhT > read_file14,,0:00:05.063376,1677747485.128378,5.063376
yeongbin_kr,ipfs cat QmeZphfA6CumXMW8ZE8MTev7zTzKpSuwBAStoaBVoWcWhT > read_file14,,0:00:03.148520,1677747489.483623,3.14852
yeongbin_us,head -c 10000000 < /dev/urandom > test_file15,,0:00:00.377599,1677747491.305136,0.377599
yeongbin_us,ipfs add test_file15,QmcNAnBYqcvmjjwvri6H3BadbrUkpmvRzN6UiDgaTuMjcq,0:00:00.906415,1677747493.568199,0.906415
byungkil_kr,ipfs cat QmcNAnBYqcvmjjwvri6H3BadbrUkpmvRzN6UiDgaTuMjcq > read_file15,,0:00:16.249817,1677747511.209269,16.249817
byungkeun_kr,ipfs cat QmcNAnBYqcvmjjwvri6H3BadbrUkpmvRzN6UiDgaTuMjcq > read_file15,,0:00:04.221910,1677747516.912485,4.22191
yeongbin_kr,ipfs cat QmcNAnBYqcvmjjwvri6H3BadbrUkpmvRzN6UiDgaTuMjcq > read_file15,,0:00:03.185415,1677747521.043991,3.185415
yeongbin_us,head -c 10000000 < /dev/urandom > test_file16,,0:00:00.381473,1677747522.80593,0.381473
yeongbin_us,ipfs add test_file16,QmdhynEK64DFMpgRGff1N3YRNtdBDcHAoS2pLrb5wm1Ufx,0:00:00.834129,1677747524.993751,0.834129
byungkil_kr,ipfs cat QmdhynEK64DFMpgRGff1N3YRNtdBDcHAoS2pLrb5wm1Ufx > read_file16,,0:00:16.667906,1677747543.033252,16.667906
taekyung_kr,ipfs cat QmdhynEK64DFMpgRGff1N3YRNtdBDcHAoS2pLrb5wm1Ufx > read_file16,,0:00:04.621716,1677747550.66115,4.621716
yeongbin_kr,ipfs cat QmdhynEK64DFMpgRGff1N3YRNtdBDcHAoS2pLrb5wm1Ufx > read_file16,,0:00:02.611504,1677747554.587525,2.611504
yeongbin_us,head -c 10000000 < /dev/urandom > test_file17,,0:00:00.376870,1677747556.401593,0.37687
