client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
yeongbin_us,head -c 10000000 < /dev/urandom > test_file1,,0:00:00.372570,1677810643.995206,0.37257
yeongbin_us,ipfs add test_file1,Qmax6N7N4hajGcuYN2SAHwCNXX6tGi7joa2KqPy23jFEKm,0:00:00.855738,1677810646.275376,0.855738
byungkeun_kr,ipfs cat Qmax6N7N4hajGcuYN2SAHwCNXX6tGi7joa2KqPy23jFEKm > read_file1,,0:00:16.261042,1677810663.964551,16.261042
byungkil_kr,ipfs cat Qmax6N7N4hajGcuYN2SAHwCNXX6tGi7joa2KqPy23jFEKm > read_file1,,0:00:04.514548,1677810669.978659,4.514548
taekyung_kr,ipfs cat Qmax6N7N4hajGcuYN2SAHwCNXX6tGi7joa2KqPy23jFEKm > read_file1,,0:00:04.380244,1677810677.390984,4.380244
yeongbin_kr,Timeout expired,,,,
yeongbin_us,head -c 10000000 < /dev/urandom > test_file2,,0:00:00.373287,1677810710.401841,0.373287
yeongbin_us,ipfs add test_file2,QmcqbmgFcG333MqZTQMoSkPK1S5uFDRyYDqSotzCHJ1v8v,0:00:00.841790,1677810712.66613,0.84179
byungkeun_kr,ipfs cat QmcqbmgFcG333MqZTQMoSkPK1S5uFDRyYDqSotzCHJ1v8v > read_file2,,0:00:17.399877,1677810731.488564,17.399877
taekyung_kr,ipfs cat QmcqbmgFcG333MqZTQMoSkPK1S5uFDRyYDqSotzCHJ1v8v > read_file2,,0:00:04.114230,1677810738.659157,4.11423
byungkil_kr,ipfs cat QmcqbmgFcG333MqZTQMoSkPK1S5uFDRyYDqSotzCHJ1v8v > read_file2,,0:00:04.569736,1677810744.92726,4.569736
yeongbin_kr,ipfs cat QmcqbmgFcG333MqZTQMoSkPK1S5uFDRyYDqSotzCHJ1v8v > read_file2,,0:00:02.754624,1677810748.618776,2.754624
yeongbin_us,head -c 10000000 < /dev/urandom > test_file3,,0:00:00.372132,1677810750.60544,0.372132
yeongbin_us,ipfs add test_file3,QmceXhkXrePrs8Ybg37Lnq2kjgT3nDcuKS6BX2cPx3DUDX,0:00:01.411860,1677810753.455892,1.41186
byungkil_kr,ipfs cat QmceXhkXrePrs8Ybg37Lnq2kjgT3nDcuKS6BX2cPx3DUDX > read_file3,,0:00:16.541512,1677810771.402965,16.541512
