client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
byungkeun_us,head -c 10000000 < /dev/urandom > test_file1,,0:00:00.401287,1674903428.922187,0.401287
byungkeun_us,ipfs add test_file1,QmVGsBj9KLrAmuSbpwDnSDHTMCxwQjjDTLzDog3sXx7W6f,0:00:11.012004,1674903441.361066,11.012004
byungkeun_kr,ipfs cat QmVGsBj9KLrAmuSbpwDnSDHTMCxwQjjDTLzDog3sXx7W6f > read_file1,,0:00:08.892564,1674903451.790687,8.892564
taekyung_kr,ipfs cat QmVGsBj9KLrAmuSbpwDnSDHTMCxwQjjDTLzDog3sXx7W6f > read_file1,,0:00:03.478364,1674903458.292899,3.478364
yeongbin_us,ipfs cat QmVGsBj9KLrAmuSbpwDnSDHTMCxwQjjDTLzDog3sXx7W6f > read_file1,,0:00:10.314133,1674903470.247314,10.314133
byungkil_kr,ipfs cat QmVGsBj9KLrAmuSbpwDnSDHTMCxwQjjDTLzDog3sXx7W6f > read_file1,,0:00:03.471830,1674903475.172962,3.47183
yeongbin_kr,ipfs cat QmVGsBj9KLrAmuSbpwDnSDHTMCxwQjjDTLzDog3sXx7W6f > read_file1,,0:00:02.385599,1674903478.585473,2.385599
byungkeun_us,head -c 10000000 < /dev/urandom > test_file2,,0:00:00.398538,1674903480.523525,0.398538
byungkeun_us,ipfs add test_file2,QmcaHHZuVXrvBUStgoTLrCc5QxzEFAikdiVrakF4uXemUL,0:00:01.210389,1674903483.184205,1.210389
byungkeun_kr,ipfs cat QmcaHHZuVXrvBUStgoTLrCc5QxzEFAikdiVrakF4uXemUL > read_file2,,0:00:09.431573,1674903494.040365,9.431573
taekyung_kr,ipfs cat QmcaHHZuVXrvBUStgoTLrCc5QxzEFAikdiVrakF4uXemUL > read_file2,,0:00:03.554889,1674903500.698431,3.554889
byungkil_kr,ipfs cat QmcaHHZuVXrvBUStgoTLrCc5QxzEFAikdiVrakF4uXemUL > read_file2,,0:00:02.862194,1674903505.352478,2.862194
yeongbin_us,ipfs cat QmcaHHZuVXrvBUStgoTLrCc5QxzEFAikdiVrakF4uXemUL > read_file2,,0:00:06.359337,1674903513.093914,6.359337
yeongbin_kr,ipfs cat QmcaHHZuVXrvBUStgoTLrCc5QxzEFAikdiVrakF4uXemUL > read_file2,,0:00:02.579083,1674903516.615337,2.579083
byungkeun_us,head -c 10000000 < /dev/urandom > test_file3,,0:00:00.389527,1674903518.509567,0.389527
byungkeun_us,ipfs add test_file3,QmNgfFdbtREyLEtQfHjiTbLiRcswoqhUh3o93DqPWfrruV,0:00:03.402563,1674903523.228857,3.402563
byungkeun_kr,ipfs cat QmNgfFdbtREyLEtQfHjiTbLiRcswoqhUh3o93DqPWfrruV > read_file3,,0:00:09.549973,1674903534.243668,9.549973
yeongbin_us,ipfs cat QmNgfFdbtREyLEtQfHjiTbLiRcswoqhUh3o93DqPWfrruV > read_file3,,0:00:10.220261,1674903545.945719,10.220261
taekyung_kr,ipfs cat QmNgfFdbtREyLEtQfHjiTbLiRcswoqhUh3o93DqPWfrruV > read_file3,,0:00:03.879309,1674903552.805115,3.879309
byungkil_kr,ipfs cat QmNgfFdbtREyLEtQfHjiTbLiRcswoqhUh3o93DqPWfrruV > read_file3,,0:00:03.075173,1674903557.687265,3.075173
yeongbin_kr,ipfs cat QmNgfFdbtREyLEtQfHjiTbLiRcswoqhUh3o93DqPWfrruV > read_file3,,0:00:02.578330,1674903561.268968,2.57833
byungkeun_us,head -c 10000000 < /dev/urandom > test_file4,,0:00:00.396104,1674903563.333937,0.396104
byungkeun_us,ipfs add test_file4,QmWApnfdoUXhHcnFYkZGUgpLZrZg64pqRUAG9vQPsqJ9Dc,0:00:02.471601,1674903567.203534,2.471601
byungkeun_kr,ipfs cat QmWApnfdoUXhHcnFYkZGUgpLZrZg64pqRUAG9vQPsqJ9Dc > read_file4,,0:00:09.855576,1674903578.545165,9.855576
yeongbin_us,ipfs cat QmWApnfdoUXhHcnFYkZGUgpLZrZg64pqRUAG9vQPsqJ9Dc > read_file4,,0:00:10.686055,1674903590.726574,10.686055
byungkil_kr,ipfs cat QmWApnfdoUXhHcnFYkZGUgpLZrZg64pqRUAG9vQPsqJ9Dc > read_file4,,0:00:02.928865,1674903595.323917,2.928865
taekyung_kr,ipfs cat QmWApnfdoUXhHcnFYkZGUgpLZrZg64pqRUAG9vQPsqJ9Dc > read_file4,,0:00:03.981984,1674903602.329638,3.981984
yeongbin_kr,ipfs cat QmWApnfdoUXhHcnFYkZGUgpLZrZg64pqRUAG9vQPsqJ9Dc > read_file4,,0:00:02.666026,1674903606.203406,2.666026
byungkeun_us,head -c 10000000 < /dev/urandom > test_file5,,0:00:00.391505,1674903608.120456,0.391505
byungkeun_us,ipfs add test_file5,QmerRfF9QWGCsiKMvkharcB2yYBHJahUKuRKjUuMKKsqja,0:00:11.927231,1674903621.463733,11.927231
byungkeun_kr,ipfs cat QmerRfF9QWGCsiKMvkharcB2yYBHJahUKuRKjUuMKKsqja > read_file5,,0:00:09.357050,1674903632.348902,9.35705
byungkil_kr,ipfs cat QmerRfF9QWGCsiKMvkharcB2yYBHJahUKuRKjUuMKKsqja > read_file5,,0:00:02.947572,1674903636.847542,2.947572
taekyung_kr,ipfs cat QmerRfF9QWGCsiKMvkharcB2yYBHJahUKuRKjUuMKKsqja > read_file5,,0:00:03.244137,1674903643.045121,3.244137
yeongbin_us,ipfs cat QmerRfF9QWGCsiKMvkharcB2yYBHJahUKuRKjUuMKKsqja > read_file5,,0:00:07.782534,1674903652.514277,7.782534
yeongbin_kr,ipfs cat QmerRfF9QWGCsiKMvkharcB2yYBHJahUKuRKjUuMKKsqja > read_file5,,0:00:02.312132,1674903655.743498,2.312132
byungkeun_us,head -c 10000000 < /dev/urandom > test_file6,,0:00:00.391251,1674903657.611751,0.391251
byungkeun_us,ipfs add test_file6,QmYd8mqFi6RMVLN2neeMToiRTB3eSA4SzcVPobZfj8BESN,0:00:04.166226,1674903663.214487,4.166226
byungkeun_kr,ipfs cat QmYd8mqFi6RMVLN2neeMToiRTB3eSA4SzcVPobZfj8BESN > read_file6,,0:00:09.250491,1674903673.94727,9.250491
byungkil_kr,ipfs cat QmYd8mqFi6RMVLN2neeMToiRTB3eSA4SzcVPobZfj8BESN > read_file6,,0:00:02.862912,1674903678.409106,2.862912
yeongbin_us,ipfs cat QmYd8mqFi6RMVLN2neeMToiRTB3eSA4SzcVPobZfj8BESN > read_file6,,0:00:09.211353,1674903689.038859,9.211353
taekyung_kr,ipfs cat QmYd8mqFi6RMVLN2neeMToiRTB3eSA4SzcVPobZfj8BESN > read_file6,,0:00:03.812321,1674903695.836804,3.812321
yeongbin_kr,ipfs cat QmYd8mqFi6RMVLN2neeMToiRTB3eSA4SzcVPobZfj8BESN > read_file6,,0:00:02.456411,1674903699.497374,2.456411
byungkeun_us,head -c 10000000 < /dev/urandom > test_file7,,0:00:00.388292,1674903701.413719,0.388292
byungkeun_us,ipfs add test_file7,QmbRVzG6NetvSxpysdAuAPDfn49hYsCA85CHWcw7cY4KKM,0:00:01.806655,1674903704.632456,1.806655
taekyung_kr,ipfs cat QmbRVzG6NetvSxpysdAuAPDfn49hYsCA85CHWcw7cY4KKM > read_file7,,0:00:10.432694,1674903718.073834,10.432694
byungkeun_kr,ipfs cat QmbRVzG6NetvSxpysdAuAPDfn49hYsCA85CHWcw7cY4KKM > read_file7,,0:00:03.747745,1674903723.542254,3.747745
yeongbin_us,ipfs cat QmbRVzG6NetvSxpysdAuAPDfn49hYsCA85CHWcw7cY4KKM > read_file7,,0:00:07.444811,1674903732.473981,7.444811
byungkil_kr,ipfs cat QmbRVzG6NetvSxpysdAuAPDfn49hYsCA85CHWcw7cY4KKM > read_file7,,0:00:03.057323,1674903736.974483,3.057323
yeongbin_kr,ipfs cat QmbRVzG6NetvSxpysdAuAPDfn49hYsCA85CHWcw7cY4KKM > read_file7,,0:00:02.707831,1674903740.512352,2.707831
byungkeun_us,head -c 10000000 < /dev/urandom > test_file8,,0:00:00.389785,1674903742.446499,0.389785
byungkeun_us,ipfs add test_file8,QmXRnPpM1z59QG3HxvtH4pUBYJPRADQkFbF7QLdzRG91Ha,0:00:14.365023,1674903758.198107,14.365023
taekyung_kr,ipfs cat QmXRnPpM1z59QG3HxvtH4pUBYJPRADQkFbF7QLdzRG91Ha > read_file8,,0:00:09.169855,1674903770.455673,9.169855
byungkeun_kr,ipfs cat QmXRnPpM1z59QG3HxvtH4pUBYJPRADQkFbF7QLdzRG91Ha > read_file8,,0:00:02.897862,1674903775.093483,2.897862
byungkil_kr,ipfs cat QmXRnPpM1z59QG3HxvtH4pUBYJPRADQkFbF7QLdzRG91Ha > read_file8,,0:00:02.647543,1674903779.266422,2.647543
yeongbin_us,ipfs cat QmXRnPpM1z59QG3HxvtH4pUBYJPRADQkFbF7QLdzRG91Ha > read_file8,,0:00:07.470052,1674903788.403683,7.470052
yeongbin_kr,ipfs cat QmXRnPpM1z59QG3HxvtH4pUBYJPRADQkFbF7QLdzRG91Ha > read_file8,,0:00:02.799605,1674903792.178024,2.799605
byungkeun_us,head -c 10000000 < /dev/urandom > test_file9,,0:00:00.389305,1674903794.112395,0.389305
byungkeun_us,ipfs add test_file9,Qmba51iGC5qiNQsGiQhjFQi5RcLbd3A5aSvSR4bWpjHBA3,0:00:01.230244,1674903796.755729,1.230244
taekyung_kr,ipfs cat Qmba51iGC5qiNQsGiQhjFQi5RcLbd3A5aSvSR4bWpjHBA3 > read_file9,,0:00:08.719567,1674903808.429796,8.719567
yeongbin_us,ipfs cat Qmba51iGC5qiNQsGiQhjFQi5RcLbd3A5aSvSR4bWpjHBA3 > read_file9,,0:00:06.903206,1674903817.025364,6.903206
byungkeun_kr,ipfs cat Qmba51iGC5qiNQsGiQhjFQi5RcLbd3A5aSvSR4bWpjHBA3 > read_file9,,0:00:03.752719,1674903822.644505,3.752719
byungkil_kr,ipfs cat Qmba51iGC5qiNQsGiQhjFQi5RcLbd3A5aSvSR4bWpjHBA3 > read_file9,,0:00:03.658016,1674903828.41267,3.658016
yeongbin_kr,ipfs cat Qmba51iGC5qiNQsGiQhjFQi5RcLbd3A5aSvSR4bWpjHBA3 > read_file9,,0:00:02.759603,1674903832.175535,2.759603
byungkeun_us,head -c 10000000 < /dev/urandom > test_file10,,0:00:00.393242,1674903834.143364,0.393242
byungkeun_us,ipfs add test_file10,Qmd9jhPKcftLmhx59oVnm5D2kcZo8u8QYzpBRRp1AyrhrV,0:00:01.220598,1674903836.756073,1.220598
taekyung_kr,ipfs cat Qmd9jhPKcftLmhx59oVnm5D2kcZo8u8QYzpBRRp1AyrhrV > read_file10,,0:00:09.484620,1674903849.205116,9.48462
yeongbin_us,ipfs cat Qmd9jhPKcftLmhx59oVnm5D2kcZo8u8QYzpBRRp1AyrhrV > read_file10,,0:00:06.931328,1674903857.765779,6.931328
byungkil_kr,ipfs cat Qmd9jhPKcftLmhx59oVnm5D2kcZo8u8QYzpBRRp1AyrhrV > read_file10,,0:00:03.710949,1674903862.971622,3.710949
byungkeun_kr,ipfs cat Qmd9jhPKcftLmhx59oVnm5D2kcZo8u8QYzpBRRp1AyrhrV > read_file10,,0:00:03.146433,1674903867.548941,3.146433
yeongbin_kr,ipfs cat Qmd9jhPKcftLmhx59oVnm5D2kcZo8u8QYzpBRRp1AyrhrV > read_file10,,0:00:02.535459,1674903871.363754,2.535459
byungkeun_us,head -c 10000000 < /dev/urandom > test_file11,,0:00:00.393694,1674903873.314748,0.393694
byungkeun_us,ipfs add test_file11,Qma3ecdZHCq7yqJjEQtzcXtFqfc3vW7stoPds4zK7q1vfv,0:00:07.400387,1674903882.02157,7.400387
taekyung_kr,ipfs cat Qma3ecdZHCq7yqJjEQtzcXtFqfc3vW7stoPds4zK7q1vfv > read_file11,,0:00:08.828044,1674903893.865357,8.828044
byungkil_kr,ipfs cat Qma3ecdZHCq7yqJjEQtzcXtFqfc3vW7stoPds4zK7q1vfv > read_file11,,0:00:03.136169,1674903898.84786,3.136169
byungkeun_kr,ipfs cat Qma3ecdZHCq7yqJjEQtzcXtFqfc3vW7stoPds4zK7q1vfv > read_file11,,0:00:02.563989,1674903902.850401,2.563989
yeongbin_us,ipfs cat Qma3ecdZHCq7yqJjEQtzcXtFqfc3vW7stoPds4zK7q1vfv > read_file11,,0:00:07.489746,1674903911.835626,7.489746
yeongbin_kr,ipfs cat Qma3ecdZHCq7yqJjEQtzcXtFqfc3vW7stoPds4zK7q1vfv > read_file11,,0:00:02.786440,1674903915.662078,2.78644
byungkeun_us,head -c 10000000 < /dev/urandom > test_file12,,0:00:00.389342,1674903917.636885,0.389342
byungkeun_us,ipfs add test_file12,QmYviTzWcp11iZWefPt78qAvnGMoFYRwp9dLob7dkjvvbP,0:00:03.964230,1674903923.014451,3.96423
