client_id,command,result
yeongbin_us,head -c 1024 < /dev/urandom > test_file1,"['0:00:00.014070', '1672897023.487634']"
yeongbin_us,ipfs add test_file1,"['QmVdXWqFxFxaqcpZ1hNyLWaasZVnhubpzDRLiyP1BSfrbU', '0:00:00.175117', '1672897025.038007']"
yunsang_kr,ipfs cat QmVdXWqFxFxaqcpZ1hNyLWaasZVnhubpzDRLiyP1BSfrbU > read_file1,"['0:00:00.521976', '1672897027.042716']"
yeongbin_us,head -c 1024 < /dev/urandom > test_file2,"['0:00:00.014064', '1672897028.511019']"
yeongbin_us,ipfs add test_file2,"['QmQPvmLjwLnRuzFzVBF3XTWM6BdKNmTDFtUZnsz4RzqFB1', '0:00:00.170314', '1672897030.030327']"
yunsang_kr,ipfs cat QmQPvmLjwLnRuzFzVBF3XTWM6BdKNmTDFtUZnsz4RzqFB1 > read_file2,"['0:00:00.454698', '1672897031.912126']"
yeongbin_us,head -c 5120 < /dev/urandom > test_file3,"['0:00:00.014573', '1672897033.58559']"
yeongbin_us,ipfs add test_file3,"['QmYP2GDKsVHc6XU51SqqGPQCHrpk7JJtdf6kXhQoDhM6gL', '0:00:00.159551', '1672897035.114883']"
yunsang_kr,ipfs cat QmYP2GDKsVHc6XU51SqqGPQCHrpk7JJtdf6kXhQoDhM6gL > read_file3,"['0:00:00.544727', '1672897037.111618']"
yeongbin_us,head -c 5120 < /dev/urandom > test_file4,"['0:00:00.014305', '1672897038.598635']"
yeongbin_us,ipfs add test_file4,"['QmWELs4NHjUuyha9uKQHvbf6xiPFF9FVE5jZSJWVbyfSgk', '0:00:00.158540', '1672897040.09817']"
yunsang_kr,ipfs cat QmWELs4NHjUuyha9uKQHvbf6xiPFF9FVE5jZSJWVbyfSgk > read_file4,"['0:00:00.517396', '1672897042.075084']"
yeongbin_us,head -c 10240 < /dev/urandom > test_file5,"['0:00:00.014696', '1672897043.64078']"
yeongbin_us,ipfs add test_file5,"['QmQqtwj4euMaFjuuamZU1kY1QiMzWmxMUb1JWoseTrFxVm', '0:00:00.153543', '1672897045.219239']"
yunsang_kr,ipfs cat QmQqtwj4euMaFjuuamZU1kY1QiMzWmxMUb1JWoseTrFxVm > read_file5,"['0:00:00.542986', '1672897047.204334']"
yeongbin_us,head -c 10240 < /dev/urandom > test_file6,"['0:00:00.014388', '1672897048.72179']"
yeongbin_us,ipfs add test_file6,"['QmdiSK5zi3kbzSjdHzEBbfbDQ7dVvuiBf7fivYyBuG24a3', '0:00:00.162667', '1672897050.246428']"
yunsang_kr,ipfs cat QmdiSK5zi3kbzSjdHzEBbfbDQ7dVvuiBf7fivYyBuG24a3 > read_file6,"['0:00:00.468410', '1672897052.128261']"
yeongbin_us,head -c 51200 < /dev/urandom > test_file7,"['0:00:00.016151', '1672897053.617663']"
yeongbin_us,ipfs add test_file7,"['QmbTvJjYTcEhKJbhj1ce52B7432okHJw2TxxmzTTaoJWd7', '0:00:00.160522', '1672897055.240441']"
yunsang_kr,ipfs cat QmbTvJjYTcEhKJbhj1ce52B7432okHJw2TxxmzTTaoJWd7 > read_file7,"['0:00:00.856032', '1672897057.576204']"
yeongbin_us,head -c 51200 < /dev/urandom > test_file8,"['0:00:00.016671', '1672897059.028508']"
yeongbin_us,ipfs add test_file8,"['QmfSzMjMqhrPqRnxm2XdY1yCqcYk2jQtNhMWapeMyryPgg', '0:00:00.155422', '1672897060.571396']"
yunsang_kr,ipfs cat QmfSzMjMqhrPqRnxm2XdY1yCqcYk2jQtNhMWapeMyryPgg > read_file8,"['0:00:00.898734', '1672897063.126915']"
yeongbin_us,head -c 102400 < /dev/urandom > test_file9,"['0:00:00.017961', '1672897064.651939']"
yeongbin_us,ipfs add test_file9,"['QmXtSDB5fkBhBMTDPTRuLt1QGUZuxst8HLnqVDTWRjWjr7', '0:00:00.152846', '1672897066.253317']"
yunsang_kr,ipfs cat QmXtSDB5fkBhBMTDPTRuLt1QGUZuxst8HLnqVDTWRjWjr7 > read_file9,"['0:00:01.052130', '1672897068.867475']"
yeongbin_us,head -c 102400 < /dev/urandom > test_file10,"['0:00:00.017580', '1672897070.388157']"
yeongbin_us,ipfs add test_file10,"['QmSBCJwYLSJBxuJdoB1tm56aDqEjvkDq9JTkY8pkFv3rHC', '0:00:00.212462', '1672897072.004714']"
yunsang_kr,ipfs cat QmSBCJwYLSJBxuJdoB1tm56aDqEjvkDq9JTkY8pkFv3rHC > read_file10,"['0:00:01.007642', '1672897074.493594']"
yeongbin_us,head -c 512000 < /dev/urandom > test_file11,"['0:00:00.033133', '1672897075.999757']"
yeongbin_us,ipfs add test_file11,"['QmNqLCL65siSzQXPdxdx6iXRxN8YpVunopM5JzW9JzHNsc', '0:00:00.194027', '1672897077.549663']"
yunsang_kr,ipfs cat QmNqLCL65siSzQXPdxdx6iXRxN8YpVunopM5JzW9JzHNsc > read_file11,"['0:00:02.137974', '1672897081.142395']"
yeongbin_us,head -c 512000 < /dev/urandom > test_file12,"['0:00:00.032678', '1672897082.614469']"
yeongbin_us,ipfs add test_file12,"['QmQCeQU9soK1DgKoQvPko6pGNwawtuq4XZNQ5Qip7s1RBk', '0:00:00.214767', '1672897084.156611']"
yunsang_kr,ipfs cat QmQCeQU9soK1DgKoQvPko6pGNwawtuq4XZNQ5Qip7s1RBk > read_file12,"['0:00:01.999600', '1672897087.623003']"
yeongbin_us,head -c 1048576 < /dev/urandom > test_file13,"['0:00:00.052482', '1672897089.114287']"
yeongbin_us,ipfs add test_file13,"['QmZuof8xmDv22RzzDfDsZdWMVTgSsCEXdZxL8P1MgQsb3m', '0:00:00.326179', '1672897090.759133']"
yunsang_kr,ipfs cat QmZuof8xmDv22RzzDfDsZdWMVTgSsCEXdZxL8P1MgQsb3m > read_file13,"['0:00:02.962836', '1672897095.183219']"
yeongbin_us,head -c 1048576 < /dev/urandom > test_file14,"['0:00:00.052417', '1672897096.734307']"
