client_id,command,Hash value,Duration of Time,Timestamp,Duration of Time(sec)
taekyung_kr,head -c 10000000 < /dev/urandom > test_file1,,0:00:01.134153,1677915715.263713,1.134153
taekyung_kr,ipfs add test_file1,QmTKmw1tJhKY28WHVg265PCNVYZNan8oUyfskvJYivfLCK,0:00:01.592544,1677915720.305484,1.592544
yeongbin_kr,ipfs cat QmTKmw1tJhKY28WHVg265PCNVYZNan8oUyfskvJYivfLCK > read_file1,,0:00:16.256563,1677915741.561026,16.256563
taekyung_kr,head -c 10000000 < /dev/urandom > test_file2,,0:00:01.119201,1677915745.741634,1.119201
taekyung_kr,ipfs add test_file2,QmRP3rPJSs1uLFMmrxnJYptV6ox3sYCVE6yso43degbzhn,0:00:01.575806,1677915750.63701,1.575806
yeongbin_kr,ipfs cat QmRP3rPJSs1uLFMmrxnJYptV6ox3sYCVE6yso43degbzhn > read_file2,,0:00:02.755343,1677915754.546071,2.755343
taekyung_kr,head -c 10000000 < /dev/urandom > test_file3,,0:00:01.142731,1677915758.678547,1.142731
taekyung_kr,ipfs add test_file3,QmbmtH8eZFiCoTfRdvzVPFP3WPHBK5RkRWi3APwmjKX7iG,0:00:01.672222,1677915763.953458,1.672222
yeongbin_kr,ipfs cat QmbmtH8eZFiCoTfRdvzVPFP3WPHBK5RkRWi3APwmjKX7iG > read_file3,,0:00:03.454824,1677915768.631614,3.454824
taekyung_kr,head -c 10000000 < /dev/urandom > test_file4,,0:00:01.119777,1677915772.922039,1.119777
taekyung_kr,ipfs add test_file4,QmUKUB6JymsYUAiwn8n6exRdokaFyQPEdTPRpmqxU9kim6,0:00:01.547237,1677915777.673072,1.547237
yeongbin_kr,ipfs cat QmUKUB6JymsYUAiwn8n6exRdokaFyQPEdTPRpmqxU9kim6 > read_file4,,0:00:02.534163,1677915781.329399,2.534163
taekyung_kr,head -c 10000000 < /dev/urandom > test_file5,,0:00:00.489594,1677915784.857212,0.489594
taekyung_kr,ipfs add test_file5,QmSXVMUAMpxk6NKTRLYT6zmRJwMwnBKWVfrBDRtdt4B5bc,0:00:01.531295,1677915789.594876,1.531295
yeongbin_kr,ipfs cat QmSXVMUAMpxk6NKTRLYT6zmRJwMwnBKWVfrBDRtdt4B5bc > read_file5,,0:00:02.557273,1677915793.322187,2.557273
taekyung_kr,head -c 10000000 < /dev/urandom > test_file6,,0:00:01.136132,1677915797.474158,1.136132
taekyung_kr,ipfs add test_file6,QmUvuaozgLsUfEzM7Cqe39bwcRsGMtiiUqWU4jcvDeL4iP,0:00:01.600573,1677915802.221797,1.600573
yeongbin_kr,ipfs cat QmUvuaozgLsUfEzM7Cqe39bwcRsGMtiiUqWU4jcvDeL4iP > read_file6,,0:00:03.008519,1677915806.374455,3.008519
taekyung_kr,head -c 10000000 < /dev/urandom > test_file7,,0:00:00.476873,1677915809.960867,0.476873
taekyung_kr,ipfs add test_file7,QmXpzXTZ3sGbANB8xZBwrnpMwLmTfZ8rzAKnPuvuagUqMK,0:00:01.599940,1677915814.741271,1.59994
yeongbin_kr,ipfs cat QmXpzXTZ3sGbANB8xZBwrnpMwLmTfZ8rzAKnPuvuagUqMK > read_file7,,0:00:02.377678,1677915818.268485,2.377678
taekyung_kr,head -c 10000000 < /dev/urandom > test_file8,,0:00:01.118423,1677915822.407634,1.118423
taekyung_kr,ipfs add test_file8,Qmagk8j9nQBbcsziWTeb6fxNk6gbSXrwFuKtLZPWkq4GFs,0:00:01.956147,1677915827.555231,1.956147
yeongbin_kr,ipfs cat Qmagk8j9nQBbcsziWTeb6fxNk6gbSXrwFuKtLZPWkq4GFs > read_file8,,0:00:03.161337,1677915831.857547,3.161337
taekyung_kr,head -c 10000000 < /dev/urandom > test_file9,,0:00:00.476001,1677915835.426731,0.476001
taekyung_kr,ipfs add test_file9,QmWLQjuqLMWW1onQFkmBpyLGs4zJ1zEbdCd3eA728Rg3wM,0:00:01.427098,1677915840.08322,1.427098
yeongbin_kr,ipfs cat QmWLQjuqLMWW1onQFkmBpyLGs4zJ1zEbdCd3eA728Rg3wM > read_file9,,0:00:02.725546,1677915843.923537,2.725546
taekyung_kr,head -c 10000000 < /dev/urandom > test_file10,,0:00:00.474527,1677915847.468648,0.474527
taekyung_kr,ipfs add test_file10,QmbSzz9curpenLvHon7GuiuWLuojWK7xinvi6V3HSJpFFn,0:00:01.536978,1677915852.190274,1.536978
yeongbin_kr,ipfs cat QmbSzz9curpenLvHon7GuiuWLuojWK7xinvi6V3HSJpFFn > read_file10,,0:00:02.401940,1677915855.697697,2.40194
taekyung_kr,head -c 10000000 < /dev/urandom > test_file11,,0:00:00.470408,1677915859.315959,0.470408
taekyung_kr,ipfs add test_file11,QmP3yDHcDovBd5RQBLtJkkgnaD1Er9pRg7HT4oyJHEWerS,0:00:01.475078,1677915863.990338,1.475078
yeongbin_kr,ipfs cat QmP3yDHcDovBd5RQBLtJkkgnaD1Er9pRg7HT4oyJHEWerS > read_file11,,0:00:04.508922,1677915869.644929,4.508922
taekyung_kr,head -c 10000000 < /dev/urandom > test_file12,,0:00:00.483328,1677915873.249796,0.483328
taekyung_kr,ipfs add test_file12,QmcEJvjcHTWXgX1GqWZQQpBdmmZijhB1MciCf5zjRmCUgL,0:00:01.704992,1677915878.193966,1.704992
yeongbin_kr,ipfs cat QmcEJvjcHTWXgX1GqWZQQpBdmmZijhB1MciCf5zjRmCUgL > read_file12,,0:00:02.483117,1677915881.861597,2.483117
taekyung_kr,head -c 10000000 < /dev/urandom > test_file13,,0:00:00.472810,1677915885.353765,0.47281
taekyung_kr,ipfs add test_file13,Qmcpt2DjcyCaxyRx8aAHjfuP1SKh3n3yxXG55gnVpkm6Pa,0:00:01.477144,1677915890.103215,1.477144
yeongbin_kr,ipfs cat Qmcpt2DjcyCaxyRx8aAHjfuP1SKh3n3yxXG55gnVpkm6Pa > read_file13,,0:00:02.507345,1677915893.764773,2.507345
taekyung_kr,head -c 10000000 < /dev/urandom > test_file14,,0:00:00.505253,1677915897.28727,0.505253
taekyung_kr,ipfs add test_file14,QmZJanVz8RUn2ShhjJuxquc3jXg7zw139HsJodCKDSypEt,0:00:05.090119,1677915905.617875,5.090119
yeongbin_kr,ipfs cat QmZJanVz8RUn2ShhjJuxquc3jXg7zw139HsJodCKDSypEt > read_file14,,0:00:02.469192,1677915909.25494,2.469192
