client_id,command,result
yunsang_kr,head -c 1024 < /dev/urandom > test_file1,"['0:00:00.015837', '1672920281.060848']"
yunsang_kr,ipfs add test_file1,"['QmTsCyhdvnpQhY9R1Vr4QpvfhYSC1QGdnvL3utawYNVNNb', '0:00:00.216520', '1672920283.010716']"
yeongbin_us,ipfs cat QmTsCyhdvnpQhY9R1Vr4QpvfhYSC1QGdnvL3utawYNVNNb > read_file1,"['0:00:00.534894', '1672920285.048036']"
yunsang_kr,head -c 1024 < /dev/urandom > test_file2,"['0:00:00.015902', '1672920286.550475']"
yunsang_kr,ipfs add test_file2,"['QmeUFhLAVMj3mJY3XUHWg7VT2Sgpmkjdv5aUmneqVKHJ5L', '0:00:00.155702', '1672920288.277204']"
yeongbin_us,ipfs cat QmeUFhLAVMj3mJY3XUHWg7VT2Sgpmkjdv5aUmneqVKHJ5L > read_file2,"['0:00:00.465067', '1672920290.205639']"
yunsang_kr,head -c 5120 < /dev/urandom > test_file3,"['0:00:00.016882', '1672920291.652395']"
yunsang_kr,ipfs add test_file3,"['Qmc1Yxjp3pVGGxjALNz6EHjgUsMt8EEki7s31zkcMLZSWL', '0:00:00.176163', '1672920293.508529']"
yeongbin_us,ipfs cat Qmc1Yxjp3pVGGxjALNz6EHjgUsMt8EEki7s31zkcMLZSWL > read_file3,"['0:00:00.647652', '1672920295.554292']"
yunsang_kr,head -c 5120 < /dev/urandom > test_file4,"['0:00:00.015826', '1672920297.043704']"
yunsang_kr,ipfs add test_file4,"['QmWeQ8zNEhSrrsqFQie1r5QHjqHyxdhEa9a5qKFAuyfR1B', '0:00:00.188762', '1672920298.818179']"
yeongbin_us,ipfs cat QmWeQ8zNEhSrrsqFQie1r5QHjqHyxdhEa9a5qKFAuyfR1B > read_file4,"['0:00:00.528622', '1672920300.844303']"
yunsang_kr,head -c 10240 < /dev/urandom > test_file5,"['0:00:00.016982', '1672920302.343474']"
yunsang_kr,ipfs add test_file5,"['QmYyJtxP3mJhTWtn6xsDoaNhJBHmf2wesPbZHRsU7mUt7L', '0:00:00.237883', '1672920304.259804']"
yeongbin_us,ipfs cat QmYyJtxP3mJhTWtn6xsDoaNhJBHmf2wesPbZHRsU7mUt7L > read_file5,"['0:00:00.659918', '1672920306.368626']"
yunsang_kr,head -c 10240 < /dev/urandom > test_file6,"['0:00:00.015873', '1672920307.842939']"
yunsang_kr,ipfs add test_file6,"['QmZzHKKFjdXx2QhTFi9u7Mmkq4gfDx3WxyFrUUhwM7CJQt', '0:00:00.183862', '1672920309.608061']"
yeongbin_us,ipfs cat QmZzHKKFjdXx2QhTFi9u7Mmkq4gfDx3WxyFrUUhwM7CJQt > read_file6,"['0:00:00.627884', '1672920311.662236']"
yunsang_kr,head -c 51200 < /dev/urandom > test_file7,"['0:00:00.018775', '1672920313.149267']"
